,input,sensor_type,image_size,resolution_(DPI),nfiq1_quality,nfiq2_quality,minutiae_sourceafis,minutiae_mindtct_m1=0,minutiae_mindtct_m1=1,minutiae_fingerjet
859,_home_Analise_digitais_2004_DB1_75_75_1,optical sensor CrossMatch,640x480,500,1,28,29,46,46,50
860,_home_Analise_digitais_2004_DB2_22_22_1,optical sensor Digital Persona,328x364,500,2,18,25,46,46,27
861,_home_Analise_digitais_2004_DB3_64_64_3,thermal sweeping sensor Atmel,300x480,512,1,54,45,112,112,79
862,_home_Analise_digitais_2004_DB3_4_4_3,thermal sweeping sensor Atmel,300x480,512,2,47,42,63,63,62
863,_home_Analise_digitais_2004_DB1_59_59_6,optical sensor CrossMatch,640x480,500,1,59,35,56,56,42
864,_home_Analise_digitais_2004_DB3_18_18_8,thermal sweeping sensor Atmel,300x480,512,1,35,57,107,107,101
865,_home_Analise_digitais_2004_DB1_7_7_7,optical sensor CrossMatch,640x480,500,2,54,33,48,48,48
866,_home_Analise_digitais_2004_DB2_91_91_6,optical sensor Digital Persona,328x364,500,3,8,28,36,36,26
867,_home_Analise_digitais_2004_DB4_25_25_5,synthetic fingerprint generation,288x384,500,1,43,29,49,49,34
868,_home_Analise_digitais_2004_DB1_57_57_3,optical sensor CrossMatch,640x480,500,2,49,51,72,72,80
869,_home_Analise_digitais_2004_DB4_39_39_5,synthetic fingerprint generation,288x384,500,3,18,17,25,25,90
870,_home_Analise_digitais_2004_DB1_44_44_2,optical sensor CrossMatch,640x480,500,2,24,15,41,41,27
871,_home_Analise_digitais_2004_DB4_56_56_2,synthetic fingerprint generation,288x384,500,1,42,52,75,75,73
872,_home_Analise_digitais_2004_DB4_108_108_4,synthetic fingerprint generation,288x384,500,2,40,33,45,45,49
873,_home_Analise_digitais_2004_DB1_18_18_1,optical sensor CrossMatch,640x480,500,3,29,15,25,25,21
874,_home_Analise_digitais_2004_DB2_5_5_3,optical sensor Digital Persona,328x364,500,2,33,30,40,40,43
875,_home_Analise_digitais_2004_DB3_88_88_1,thermal sweeping sensor Atmel,300x480,512,3,28,59,114,114,139
876,_home_Analise_digitais_2004_DB4_58_58_5,synthetic fingerprint generation,288x384,500,2,38,41,60,60,79
877,_home_Analise_digitais_2004_DB3_37_37_1,thermal sweeping sensor Atmel,300x480,512,2,50,29,53,53,66
878,_home_Analise_digitais_2004_DB3_75_75_5,thermal sweeping sensor Atmel,300x480,512,4,20,94,151,151,227
879,_home_Analise_digitais_2004_DB2_24_24_8,optical sensor Digital Persona,328x364,500,3,17,62,64,64,110
880,_home_Analise_digitais_2004_DB3_53_53_2,thermal sweeping sensor Atmel,300x480,512,2,53,33,71,71,52
881,_home_Analise_digitais_2004_DB3_5_5_6,thermal sweeping sensor Atmel,300x480,512,1,47,47,79,79,82
882,_home_Analise_digitais_2004_DB3_87_87_6,thermal sweeping sensor Atmel,300x480,512,2,36,49,82,82,66
883,_home_Analise_digitais_2004_DB1_19_19_3,optical sensor CrossMatch,640x480,500,2,38,40,64,64,58
884,_home_Analise_digitais_2004_DB1_72_72_6,optical sensor CrossMatch,640x480,500,1,36,26,51,51,59
885,_home_Analise_digitais_2004_DB3_110_110_1,thermal sweeping sensor Atmel,300x480,512,1,50,81,111,111,137
886,_home_Analise_digitais_2004_DB1_67_67_5,optical sensor CrossMatch,640x480,500,1,52,47,66,66,49
887,_home_Analise_digitais_2004_DB1_29_29_4,optical sensor CrossMatch,640x480,500,1,54,64,77,77,86
888,_home_Analise_digitais_2004_DB4_4_4_4,synthetic fingerprint generation,288x384,500,1,39,50,61,61,73
889,_home_Analise_digitais_2004_DB2_29_29_2,optical sensor Digital Persona,328x364,500,2,19,18,32,32,23
890,_home_Analise_digitais_2004_DB3_44_44_2,thermal sweeping sensor Atmel,300x480,512,2,27,45,76,76,83
891,_home_Analise_digitais_2004_DB2_41_41_8,optical sensor Digital Persona,328x364,500,1,48,45,72,72,59
892,_home_Analise_digitais_2004_DB2_13_13_6,optical sensor Digital Persona,328x364,500,3,13,31,52,52,29
893,_home_Analise_digitais_2004_DB1_97_97_7,optical sensor CrossMatch,640x480,500,2,41,28,41,41,55
894,_home_Analise_digitais_2004_DB1_68_68_1,optical sensor CrossMatch,640x480,500,2,21,13,30,30,17
895,_home_Analise_digitais_2004_DB2_80_80_2,optical sensor Digital Persona,328x364,500,2,32,26,45,45,45
896,_home_Analise_digitais_2004_DB3_49_49_8,thermal sweeping sensor Atmel,300x480,512,2,31,45,104,104,91
897,_home_Analise_digitais_2004_DB1_17_17_3,optical sensor CrossMatch,640x480,500,2,33,21,33,33,28
898,_home_Analise_digitais_2004_DB4_63_63_5,synthetic fingerprint generation,288x384,500,2,35,27,37,37,36
899,_home_Analise_digitais_2004_DB4_57_57_7,synthetic fingerprint generation,288x384,500,1,39,42,54,54,63
900,_home_Analise_digitais_2004_DB2_31_31_8,optical sensor Digital Persona,328x364,500,2,14,54,64,64,71
901,_home_Analise_digitais_2004_DB2_87_87_7,optical sensor Digital Persona,328x364,500,3,32,24,34,34,38
902,_home_Analise_digitais_2004_DB1_48_48_8,optical sensor CrossMatch,640x480,500,1,49,51,66,66,64
903,_home_Analise_digitais_2004_DB1_27_27_6,optical sensor CrossMatch,640x480,500,1,64,29,59,59,47
904,_home_Analise_digitais_2004_DB3_1_1_6,thermal sweeping sensor Atmel,300x480,512,1,55,48,99,99,79
905,_home_Analise_digitais_2004_DB1_93_93_6,optical sensor CrossMatch,640x480,500,1,53,29,54,54,42
906,_home_Analise_digitais_2004_DB1_40_40_3,optical sensor CrossMatch,640x480,500,1,56,29,48,48,40
907,_home_Analise_digitais_2004_DB2_58_58_4,optical sensor Digital Persona,328x364,500,2,38,23,55,55,32
908,_home_Analise_digitais_2004_DB2_89_89_4,optical sensor Digital Persona,328x364,500,2,55,26,46,46,44
909,_home_Analise_digitais_2004_DB4_22_22_2,synthetic fingerprint generation,288x384,500,2,20,38,55,55,88
910,_home_Analise_digitais_2004_DB1_53_53_4,optical sensor CrossMatch,640x480,500,1,54,48,72,72,62
911,_home_Analise_digitais_2004_DB1_49_49_6,optical sensor CrossMatch,640x480,500,1,50,43,80,80,69
912,_home_Analise_digitais_2004_DB2_103_103_1,optical sensor Digital Persona,328x364,500,2,43,34,47,47,40
913,_home_Analise_digitais_2004_DB4_6_6_3,synthetic fingerprint generation,288x384,500,2,19,19,42,42,30
914,_home_Analise_digitais_2004_DB1_95_95_3,optical sensor CrossMatch,640x480,500,2,47,49,64,64,82
915,_home_Analise_digitais_2004_DB2_38_38_8,optical sensor Digital Persona,328x364,500,5,25,28,44,44,74
916,_home_Analise_digitais_2004_DB4_27_27_6,synthetic fingerprint generation,288x384,500,5,9,4,13,13,9
917,_home_Analise_digitais_2004_DB1_20_20_8,optical sensor CrossMatch,640x480,500,2,34,53,76,76,85
918,_home_Analise_digitais_2004_DB2_98_98_3,optical sensor Digital Persona,328x364,500,1,52,48,76,76,79
919,_home_Analise_digitais_2004_DB2_51_51_2,optical sensor Digital Persona,328x364,500,3,8,1,17,17,1
920,_home_Analise_digitais_2004_DB2_41_41_4,optical sensor Digital Persona,328x364,500,2,38,55,62,62,63
921,_home_Analise_digitais_2004_DB1_43_43_3,optical sensor CrossMatch,640x480,500,2,45,20,39,39,27
922,_home_Analise_digitais_2004_DB1_59_59_8,optical sensor CrossMatch,640x480,500,2,29,39,65,65,63
923,_home_Analise_digitais_2004_DB4_26_26_2,synthetic fingerprint generation,288x384,500,1,38,35,50,50,42
924,_home_Analise_digitais_2004_DB1_49_49_2,optical sensor CrossMatch,640x480,500,1,7,26,38,38,43
925,_home_Analise_digitais_2004_DB3_75_75_4,thermal sweeping sensor Atmel,300x480,512,1,43,68,128,128,133
926,_home_Analise_digitais_2004_DB4_24_24_2,synthetic fingerprint generation,288x384,500,2,42,22,30,30,34
927,_home_Analise_digitais_2004_DB4_100_100_4,synthetic fingerprint generation,288x384,500,2,32,20,28,28,25
928,_home_Analise_digitais_2004_DB4_31_31_5,synthetic fingerprint generation,288x384,500,1,42,38,60,60,48
929,_home_Analise_digitais_2004_DB3_17_17_6,thermal sweeping sensor Atmel,300x480,512,1,49,54,86,86,102
930,_home_Analise_digitais_2004_DB2_6_6_1,optical sensor Digital Persona,328x364,500,2,56,39,54,54,53
931,_home_Analise_digitais_2004_DB4_89_89_5,synthetic fingerprint generation,288x384,500,2,10,49,56,56,95
932,_home_Analise_digitais_2004_DB2_28_28_1,optical sensor Digital Persona,328x364,500,2,45,31,47,47,46
933,_home_Analise_digitais_2004_DB2_31_31_3,optical sensor Digital Persona,328x364,500,1,51,50,73,73,67
934,_home_Analise_digitais_2004_DB2_23_23_7,optical sensor Digital Persona,328x364,500,2,40,37,74,74,55
935,_home_Analise_digitais_2004_DB4_85_85_3,synthetic fingerprint generation,288x384,500,1,41,40,60,60,65
936,_home_Analise_digitais_2004_DB4_9_9_5,synthetic fingerprint generation,288x384,500,2,17,19,53,53,35
937,_home_Analise_digitais_2004_DB2_61_61_7,optical sensor Digital Persona,328x364,500,2,38,26,57,57,39
938,_home_Analise_digitais_2004_DB4_67_67_2,synthetic fingerprint generation,288x384,500,1,36,37,75,75,65
939,_home_Analise_digitais_2004_DB1_99_99_1,optical sensor CrossMatch,640x480,500,2,42,35,59,59,63
940,_home_Analise_digitais_2004_DB3_105_105_6,thermal sweeping sensor Atmel,300x480,512,2,43,41,59,59,44
941,_home_Analise_digitais_2004_DB4_69_69_1,synthetic fingerprint generation,288x384,500,2,31,33,47,47,43
942,_home_Analise_digitais_2004_DB3_54_54_6,thermal sweeping sensor Atmel,300x480,512,1,51,47,75,75,50
943,_home_Analise_digitais_2004_DB1_71_71_8,optical sensor CrossMatch,640x480,500,1,56,52,75,75,84
944,_home_Analise_digitais_2004_DB4_45_45_8,synthetic fingerprint generation,288x384,500,1,47,44,60,60,47
945,_home_Analise_digitais_2004_DB2_80_80_4,optical sensor Digital Persona,328x364,500,2,40,31,54,54,44
946,_home_Analise_digitais_2004_DB2_6_6_7,optical sensor Digital Persona,328x364,500,3,5,26,35,35,39
947,_home_Analise_digitais_2004_DB3_87_87_2,thermal sweeping sensor Atmel,300x480,512,1,45,51,102,102,101
948,_home_Analise_digitais_2004_DB4_81_81_5,synthetic fingerprint generation,288x384,500,2,20,40,54,54,81
949,_home_Analise_digitais_2004_DB2_6_6_8,optical sensor Digital Persona,328x364,500,3,24,32,53,53,61
950,_home_Analise_digitais_2004_DB3_18_18_7,thermal sweeping sensor Atmel,300x480,512,1,52,55,104,104,123
951,_home_Analise_digitais_2004_DB3_14_14_6,thermal sweeping sensor Atmel,300x480,512,1,32,73,125,125,161
952,_home_Analise_digitais_2004_DB4_3_3_5,synthetic fingerprint generation,288x384,500,3,21,32,41,41,80
953,_home_Analise_digitais_2004_DB1_106_106_3,optical sensor CrossMatch,640x480,500,2,33,21,25,25,20
954,_home_Analise_digitais_2004_DB4_13_13_1,synthetic fingerprint generation,288x384,500,1,21,34,66,66,69
955,_home_Analise_digitais_2004_DB2_72_72_4,optical sensor Digital Persona,328x364,500,2,36,26,66,66,47
956,_home_Analise_digitais_2004_DB3_33_33_3,thermal sweeping sensor Atmel,300x480,512,4,20,56,106,106,132
957,_home_Analise_digitais_2004_DB4_31_31_3,synthetic fingerprint generation,288x384,500,2,23,31,50,50,51
958,_home_Analise_digitais_2004_DB4_3_3_2,synthetic fingerprint generation,288x384,500,3,20,41,58,58,86
959,_home_Analise_digitais_2004_DB3_66_66_3,thermal sweeping sensor Atmel,300x480,512,1,48,41,85,85,68
960,_home_Analise_digitais_2004_DB4_27_27_8,synthetic fingerprint generation,288x384,500,2,39,27,40,40,45
961,_home_Analise_digitais_2004_DB4_47_47_5,synthetic fingerprint generation,288x384,500,2,13,27,41,41,51
962,_home_Analise_digitais_2004_DB2_36_36_4,optical sensor Digital Persona,328x364,500,3,5,19,31,31,20
963,_home_Analise_digitais_2004_DB1_84_84_8,optical sensor CrossMatch,640x480,500,1,40,55,92,92,45
964,_home_Analise_digitais_2004_DB3_50_50_1,thermal sweeping sensor Atmel,300x480,512,1,56,41,82,82,95
965,_home_Analise_digitais_2004_DB2_37_37_5,optical sensor Digital Persona,328x364,500,2,36,22,38,38,32
966,_home_Analise_digitais_2004_DB2_54_54_7,optical sensor Digital Persona,328x364,500,3,24,79,100,100,184
967,_home_Analise_digitais_2004_DB2_36_36_1,optical sensor Digital Persona,328x364,500,3,11,25,40,40,44
968,_home_Analise_digitais_2004_DB4_105_105_8,synthetic fingerprint generation,288x384,500,1,42,33,54,54,45
969,_home_Analise_digitais_2004_DB2_29_29_5,optical sensor Digital Persona,328x364,500,3,7,16,18,18,17
970,_home_Analise_digitais_2004_DB3_44_44_1,thermal sweeping sensor Atmel,300x480,512,3,30,43,69,69,92
971,_home_Analise_digitais_2004_DB1_46_46_4,optical sensor CrossMatch,640x480,500,1,64,45,65,65,60
972,_home_Analise_digitais_2004_DB2_82_82_3,optical sensor Digital Persona,328x364,500,1,49,57,74,74,83
973,_home_Analise_digitais_2004_DB4_82_82_4,synthetic fingerprint generation,288x384,500,2,24,34,55,55,76
974,_home_Analise_digitais_2004_DB3_48_48_1,thermal sweeping sensor Atmel,300x480,512,4,22,92,187,187,194
975,_home_Analise_digitais_2004_DB3_32_32_8,thermal sweeping sensor Atmel,300x480,512,4,21,78,115,115,162
976,_home_Analise_digitais_2004_DB1_101_101_7,optical sensor CrossMatch,640x480,500,1,42,25,61,61,48
977,_home_Analise_digitais_2004_DB2_99_99_2,optical sensor Digital Persona,328x364,500,5,2,96,104,104,11
978,_home_Analise_digitais_2004_DB2_60_60_8,optical sensor Digital Persona,328x364,500,3,33,55,75,75,80
979,_home_Analise_digitais_2004_DB3_9_9_6,thermal sweeping sensor Atmel,300x480,512,1,52,57,116,116,89
980,_home_Analise_digitais_2004_DB3_85_85_2,thermal sweeping sensor Atmel,300x480,512,2,45,59,91,91,109
981,_home_Analise_digitais_2004_DB3_74_74_8,thermal sweeping sensor Atmel,300x480,512,3,30,94,122,122,178
982,_home_Analise_digitais_2004_DB3_99_99_7,thermal sweeping sensor Atmel,300x480,512,1,35,64,115,115,99
983,_home_Analise_digitais_2004_DB4_72_72_4,synthetic fingerprint generation,288x384,500,2,31,27,36,36,36
984,_home_Analise_digitais_2004_DB1_11_11_2,optical sensor CrossMatch,640x480,500,1,48,56,75,75,72
985,_home_Analise_digitais_2004_DB2_27_27_5,optical sensor Digital Persona,328x364,500,2,50,37,55,55,50
986,_home_Analise_digitais_2004_DB1_68_68_8,optical sensor CrossMatch,640x480,500,1,39,34,78,78,50
987,_home_Analise_digitais_2004_DB1_55_55_5,optical sensor CrossMatch,640x480,500,1,46,36,53,53,35
988,_home_Analise_digitais_2004_DB4_98_98_3,synthetic fingerprint generation,288x384,500,2,28,25,54,54,54
989,_home_Analise_digitais_2004_DB1_110_110_4,optical sensor CrossMatch,640x480,500,2,35,46,61,61,77
990,_home_Analise_digitais_2004_DB1_88_88_7,optical sensor CrossMatch,640x480,500,3,50,35,53,53,46
991,_home_Analise_digitais_2004_DB3_45_45_7,thermal sweeping sensor Atmel,300x480,512,3,19,35,75,75,77
992,_home_Analise_digitais_2004_DB1_49_49_1,optical sensor CrossMatch,640x480,500,1,50,35,56,56,70
993,_home_Analise_digitais_2004_DB3_29_29_6,thermal sweeping sensor Atmel,300x480,512,1,51,46,85,85,111
994,_home_Analise_digitais_2004_DB3_110_110_3,thermal sweeping sensor Atmel,300x480,512,4,31,92,137,137,175
995,_home_Analise_digitais_2004_DB3_47_47_8,thermal sweeping sensor Atmel,300x480,512,3,38,34,86,86,73
996,_home_Analise_digitais_2004_DB4_81_81_4,synthetic fingerprint generation,288x384,500,3,17,32,66,66,72
997,_home_Analise_digitais_2004_DB3_68_68_1,thermal sweeping sensor Atmel,300x480,512,1,46,37,76,76,66
998,_home_Analise_digitais_2004_DB1_29_29_7,optical sensor CrossMatch,640x480,500,1,25,33,56,56,44
999,_home_Analise_digitais_2004_DB4_44_44_8,synthetic fingerprint generation,288x384,500,2,42,27,29,29,34
1000,_home_Analise_digitais_2004_DB3_57_57_7,thermal sweeping sensor Atmel,300x480,512,3,24,89,67,67,124
1001,_home_Analise_digitais_2004_DB3_61_61_1,thermal sweeping sensor Atmel,300x480,512,1,40,57,100,100,97
1002,_home_Analise_digitais_2004_DB1_29_29_8,optical sensor CrossMatch,640x480,500,2,44,54,62,62,75
1003,_home_Analise_digitais_2004_DB2_13_13_2,optical sensor Digital Persona,328x364,500,1,51,50,72,72,90
1004,_home_Analise_digitais_2004_DB4_105_105_3,synthetic fingerprint generation,288x384,500,2,40,23,49,49,51
1005,_home_Analise_digitais_2004_DB1_99_99_3,optical sensor CrossMatch,640x480,500,1,44,36,69,69,47
1006,_home_Analise_digitais_2004_DB4_46_46_1,synthetic fingerprint generation,288x384,500,2,28,34,57,57,76
1007,_home_Analise_digitais_2004_DB4_29_29_1,synthetic fingerprint generation,288x384,500,2,33,40,61,61,80
1008,_home_Analise_digitais_2004_DB4_99_99_5,synthetic fingerprint generation,288x384,500,1,45,40,54,54,65
1009,_home_Analise_digitais_2004_DB2_81_81_3,optical sensor Digital Persona,328x364,500,2,36,55,73,73,85
1010,_home_Analise_digitais_2004_DB4_109_109_4,synthetic fingerprint generation,288x384,500,3,32,25,34,34,68
1011,_home_Analise_digitais_2004_DB4_14_14_3,synthetic fingerprint generation,288x384,500,3,17,47,64,64,104
1012,_home_Analise_digitais_2004_DB4_7_7_3,synthetic fingerprint generation,288x384,500,3,21,17,37,37,55
1013,_home_Analise_digitais_2004_DB4_12_12_6,synthetic fingerprint generation,288x384,500,1,46,35,77,77,56
1014,_home_Analise_digitais_2004_DB1_32_32_5,optical sensor CrossMatch,640x480,500,1,47,47,77,77,65
1015,_home_Analise_digitais_2004_DB2_90_90_5,optical sensor Digital Persona,328x364,500,2,34,40,60,60,72
1016,_home_Analise_digitais_2004_DB2_39_39_6,optical sensor Digital Persona,328x364,500,1,36,32,43,43,38
1017,_home_Analise_digitais_2004_DB2_17_17_2,optical sensor Digital Persona,328x364,500,3,45,22,35,35,31
1018,_home_Analise_digitais_2004_DB4_3_3_8,synthetic fingerprint generation,288x384,500,2,17,43,43,43,63
1019,_home_Analise_digitais_2004_DB4_2_2_3,synthetic fingerprint generation,288x384,500,3,28,26,49,49,54
1020,_home_Analise_digitais_2004_DB3_100_100_3,thermal sweeping sensor Atmel,300x480,512,1,43,39,106,106,70
1021,_home_Analise_digitais_2004_DB4_21_21_8,synthetic fingerprint generation,288x384,500,2,45,12,33,33,20
1022,_home_Analise_digitais_2004_DB4_74_74_1,synthetic fingerprint generation,288x384,500,2,30,35,42,42,59
1023,_home_Analise_digitais_2004_DB1_57_57_5,optical sensor CrossMatch,640x480,500,2,27,31,52,52,61
1024,_home_Analise_digitais_2004_DB1_86_86_4,optical sensor CrossMatch,640x480,500,2,52,22,37,37,33
1025,_home_Analise_digitais_2004_DB2_31_31_4,optical sensor Digital Persona,328x364,500,2,29,38,56,56,49
1026,_home_Analise_digitais_2004_DB1_76_76_7,optical sensor CrossMatch,640x480,500,2,22,39,51,51,68
1027,_home_Analise_digitais_2004_DB4_53_53_8,synthetic fingerprint generation,288x384,500,2,30,24,37,37,39
1028,_home_Analise_digitais_2004_DB3_58_58_8,thermal sweeping sensor Atmel,300x480,512,3,26,78,104,104,119
1029,_home_Analise_digitais_2004_DB3_54_54_5,thermal sweeping sensor Atmel,300x480,512,1,46,53,86,86,65
1030,_home_Analise_digitais_2004_DB2_64_64_8,optical sensor Digital Persona,328x364,500,5,9,54,87,87,142
1031,_home_Analise_digitais_2004_DB2_79_79_4,optical sensor Digital Persona,328x364,500,3,48,39,69,69,47
1032,_home_Analise_digitais_2004_DB1_10_10_2,optical sensor CrossMatch,640x480,500,2,8,15,30,30,29
1033,_home_Analise_digitais_2004_DB2_60_60_4,optical sensor Digital Persona,328x364,500,2,28,38,66,66,47
1034,_home_Analise_digitais_2004_DB2_77_77_7,optical sensor Digital Persona,328x364,500,3,48,32,53,53,40
1035,_home_Analise_digitais_2004_DB4_39_39_3,synthetic fingerprint generation,288x384,500,1,45,35,52,52,47
1036,_home_Analise_digitais_2004_DB4_82_82_1,synthetic fingerprint generation,288x384,500,3,11,35,46,46,46
1037,_home_Analise_digitais_2004_DB3_2_2_1,thermal sweeping sensor Atmel,300x480,512,1,53,37,67,67,57
1038,_home_Analise_digitais_2004_DB2_71_71_4,optical sensor Digital Persona,328x364,500,2,59,25,55,55,33
1039,_home_Analise_digitais_2004_DB3_65_65_1,thermal sweeping sensor Atmel,300x480,512,2,48,29,58,58,44
1040,_home_Analise_digitais_2004_DB2_99_99_1,optical sensor Digital Persona,328x364,500,5,0,57,83,83,62
1041,_home_Analise_digitais_2004_DB3_11_11_8,thermal sweeping sensor Atmel,300x480,512,1,13,89,135,135,199
1042,_home_Analise_digitais_2004_DB2_46_46_7,optical sensor Digital Persona,328x364,500,3,11,22,52,52,29
1043,_home_Analise_digitais_2004_DB3_54_54_4,thermal sweeping sensor Atmel,300x480,512,1,39,49,82,82,59
1044,_home_Analise_digitais_2004_DB1_98_98_1,optical sensor CrossMatch,640x480,500,2,20,18,45,45,29
1045,_home_Analise_digitais_2004_DB4_12_12_7,synthetic fingerprint generation,288x384,500,1,49,47,80,80,71
1046,_home_Analise_digitais_2004_DB2_22_22_6,optical sensor Digital Persona,328x364,500,2,42,32,57,57,46
1047,_home_Analise_digitais_2004_DB1_55_55_4,optical sensor CrossMatch,640x480,500,1,44,41,75,75,62
1048,_home_Analise_digitais_2004_DB3_98_98_4,thermal sweeping sensor Atmel,300x480,512,1,56,46,82,82,67
1049,_home_Analise_digitais_2004_DB2_62_62_3,optical sensor Digital Persona,328x364,500,3,5,19,44,44,25
1050,_home_Analise_digitais_2004_DB4_73_73_2,synthetic fingerprint generation,288x384,500,1,48,33,64,64,45
1051,_home_Analise_digitais_2004_DB4_56_56_3,synthetic fingerprint generation,288x384,500,1,44,45,76,76,63
1052,_home_Analise_digitais_2004_DB4_53_53_1,synthetic fingerprint generation,288x384,500,3,22,22,47,47,38
1053,_home_Analise_digitais_2004_DB4_106_106_2,synthetic fingerprint generation,288x384,500,2,39,25,43,43,38
1054,_home_Analise_digitais_2004_DB3_30_30_6,thermal sweeping sensor Atmel,300x480,512,1,50,51,80,80,105
1055,_home_Analise_digitais_2004_DB4_70_70_7,synthetic fingerprint generation,288x384,500,2,49,28,39,39,43
1056,_home_Analise_digitais_2004_DB2_27_27_8,optical sensor Digital Persona,328x364,500,5,11,49,67,67,87
1057,_home_Analise_digitais_2004_DB3_93_93_6,thermal sweeping sensor Atmel,300x480,512,1,54,57,110,110,115
1058,_home_Analise_digitais_2004_DB4_78_78_2,synthetic fingerprint generation,288x384,500,1,40,37,46,46,55
1059,_home_Analise_digitais_2004_DB2_64_64_7,optical sensor Digital Persona,328x364,500,2,54,34,48,48,52
1060,_home_Analise_digitais_2004_DB4_17_17_7,synthetic fingerprint generation,288x384,500,1,38,48,72,72,70
1061,_home_Analise_digitais_2004_DB2_67_67_2,optical sensor Digital Persona,328x364,500,1,48,32,56,56,55
1062,_home_Analise_digitais_2004_DB4_80_80_5,synthetic fingerprint generation,288x384,500,1,41,38,56,56,63
1063,_home_Analise_digitais_2004_DB4_17_17_4,synthetic fingerprint generation,288x384,500,2,39,41,53,53,59
1064,_home_Analise_digitais_2004_DB1_30_30_6,optical sensor CrossMatch,640x480,500,1,54,36,61,61,61
1065,_home_Analise_digitais_2004_DB2_109_109_6,optical sensor Digital Persona,328x364,500,2,48,34,64,64,45
1066,_home_Analise_digitais_2004_DB3_25_25_4,thermal sweeping sensor Atmel,300x480,512,1,54,59,88,88,87
1067,_home_Analise_digitais_2004_DB1_64_64_5,optical sensor CrossMatch,640x480,500,1,57,42,70,70,70
1068,_home_Analise_digitais_2004_DB2_48_48_4,optical sensor Digital Persona,328x364,500,2,36,32,48,48,46
1069,_home_Analise_digitais_2004_DB1_85_85_3,optical sensor CrossMatch,640x480,500,2,63,27,29,29,28
1070,_home_Analise_digitais_2004_DB1_82_82_3,optical sensor CrossMatch,640x480,500,2,51,34,56,56,57
1071,_home_Analise_digitais_2004_DB4_6_6_6,synthetic fingerprint generation,288x384,500,1,34,36,52,52,59
1072,_home_Analise_digitais_2004_DB3_33_33_2,thermal sweeping sensor Atmel,300x480,512,3,10,61,77,77,99
1073,_home_Analise_digitais_2004_DB3_108_108_1,thermal sweeping sensor Atmel,300x480,512,2,32,49,84,84,97
1074,_home_Analise_digitais_2004_DB1_7_7_1,optical sensor CrossMatch,640x480,500,2,52,29,39,39,50
1075,_home_Analise_digitais_2004_DB2_102_102_8,optical sensor Digital Persona,328x364,500,3,33,31,72,72,65
1076,_home_Analise_digitais_2004_DB2_59_59_4,optical sensor Digital Persona,328x364,500,2,42,63,104,104,106
1077,_home_Analise_digitais_2004_DB3_25_25_8,thermal sweeping sensor Atmel,300x480,512,4,20,88,133,133,223
1078,_home_Analise_digitais_2004_DB3_63_63_7,thermal sweeping sensor Atmel,300x480,512,1,48,53,111,111,115
1079,_home_Analise_digitais_2004_DB1_1_1_2,optical sensor CrossMatch,640x480,500,1,25,31,44,44,59
1080,_home_Analise_digitais_2004_DB2_4_4_4,optical sensor Digital Persona,328x364,500,2,41,32,52,52,56
1081,_home_Analise_digitais_2004_DB3_92_92_6,thermal sweeping sensor Atmel,300x480,512,3,40,94,131,131,123
1082,_home_Analise_digitais_2004_DB2_70_70_3,optical sensor Digital Persona,328x364,500,2,28,23,49,49,41
1083,_home_Analise_digitais_2004_DB1_56_56_4,optical sensor CrossMatch,640x480,500,1,55,45,80,80,64
1084,_home_Analise_digitais_2004_DB1_103_103_7,optical sensor CrossMatch,640x480,500,1,40,39,64,64,65
1085,_home_Analise_digitais_2004_DB1_96_96_7,optical sensor CrossMatch,640x480,500,3,47,44,66,66,86
1086,_home_Analise_digitais_2004_DB4_22_22_1,synthetic fingerprint generation,288x384,500,2,20,36,61,61,52
1087,_home_Analise_digitais_2004_DB1_28_28_4,optical sensor CrossMatch,640x480,500,1,54,51,74,74,90
1088,_home_Analise_digitais_2004_DB1_58_58_4,optical sensor CrossMatch,640x480,500,2,53,51,69,69,75
1089,_home_Analise_digitais_2004_DB2_88_88_4,optical sensor Digital Persona,328x364,500,2,53,35,52,52,45
1090,_home_Analise_digitais_2004_DB1_60_60_4,optical sensor CrossMatch,640x480,500,2,51,59,74,74,92
1091,_home_Analise_digitais_2004_DB2_73_73_2,optical sensor Digital Persona,328x364,500,3,5,11,21,21,13
1092,_home_Analise_digitais_2004_DB4_30_30_3,synthetic fingerprint generation,288x384,500,1,40,45,64,64,58
1093,_home_Analise_digitais_2004_DB3_56_56_3,thermal sweeping sensor Atmel,300x480,512,1,47,37,68,68,44
1094,_home_Analise_digitais_2004_DB1_22_22_1,optical sensor CrossMatch,640x480,500,2,22,24,48,48,38
1095,_home_Analise_digitais_2004_DB1_75_75_8,optical sensor CrossMatch,640x480,500,1,38,52,87,87,104
1096,_home_Analise_digitais_2004_DB3_61_61_3,thermal sweeping sensor Atmel,300x480,512,3,37,56,104,104,128
1097,_home_Analise_digitais_2004_DB1_80_80_3,optical sensor CrossMatch,640x480,500,1,38,58,123,123,122
1098,_home_Analise_digitais_2004_DB2_69_69_7,optical sensor Digital Persona,328x364,500,2,28,24,56,56,46
1099,_home_Analise_digitais_2004_DB2_12_12_1,optical sensor Digital Persona,328x364,500,2,34,22,43,43,34
1100,_home_Analise_digitais_2004_DB4_56_56_1,synthetic fingerprint generation,288x384,500,1,44,50,72,72,76
1101,_home_Analise_digitais_2004_DB3_79_79_4,thermal sweeping sensor Atmel,300x480,512,1,42,51,78,78,72
